"104","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","LIEDERE- EN KOORTJIEBOEKE",,,"2000",,,"CTYGER4401"
"105","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","LOS MATTE",,,"4000",,,"CTYGER4401"
"106","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","HOUTKASTE",,,"25000",,,"CTYGER4401"
"107","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","AEG 5 PLATE Gas stove and oven",,,"8000",,,"CTYGER4401"
"108","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","FRIDGEMASTER YSKAS",,,"3500",,,"CTYGER4401"
"109","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","Hisense 220 liters fridge",,,"3500",,,"CTYGER4401"
"110","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","BAIN MARIE & HOT CLOSET (6c)",,,"12000",,,"CTYGER4401"
"111","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","2 x WARMWATERTOESTEL (URN)",,,"2500",,,"CTYGER4401"
"112","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","BREEKWARE",,,"7500",,,"CTYGER4401"
"113","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","EETGEREI",,,"2000",,,"CTYGER4401"
"114","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","NAGMAALGLASE & -KRAFFIES",,,"3000",,,"CTYGER4401"
"115","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","4 VERSILWERDE NAGMAALSKINKBORDE",,,"2000",,,"CTYGER4401"
"116","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","KETEL, SKINKBORDE, AFDROOGDOEKE, BESEMS, STOFFERS ENS.",,,"2000",,,"CTYGER4401"
"117","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","TAFELDOEKE",,,"4000",,,"CTYGER4401"
"118","2018-06-06","Tygerberg","9199","South Africa","allrisk","30 CANTEEN TAFELS",,,"10000",,,"CTYGER4401"
"119","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","150 PLASTIEKSTOELE (NUUT)",,,"8000",,,"CTYGER4401"
"120","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","130 BLOU PLASTIEKSTOELE (OUD)",,,"13000",,,"CTYGER4401"
"121","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","2 GASVERWARMERS",,,"2000",,,"CTYGER4401"
"122","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","7 BRANDBLUSSERS",,,"3500",,,"CTYGER4401"
"123","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","40 KINDERSTOELTJIES",,,"2500",,,"CTYGER4401"
"124","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","12 PLASTIEKTAFELS",,,"2000",,,"CTYGER4401"
"125","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","LOGIC AIR COOLER ",,,"800",,,"CTYGER4401"
"126","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","OPVOEDKUNDIGE SPEELGOED",,,"4000",,,"CTYGER4401"
"127","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","VELTWERK-STELLE",,,"5000",,,"CTYGER4401"
"128","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","5 WAAIERS",,,"3000",,,"CTYGER4401"
"129","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","STAINLESS STEEL TEEPOTTE & MELKBEKERS",,,"1000",,,"CTYGER4401"
"130","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","SPIEELS",,,"4500",,,"CTYGER4401"
"131","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","2 LAMPSKERMS EN STAANDERS",,,"700",,,"CTYGER4401"
"132","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","2 KASSIES",,,"500",,,"CTYGER4401"
"133","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","6 BULLETINBORDE",,,"6000",,,"CTYGER4401"
